index,Reaction,Ground turth,LocalMapper,RXNMapper,GraphMapper,LocalMapper_Conf,RXNMapper_Conf,GraphMapper_Conf,Source
1170,C=C(C)C(C(=O)OC)N1C(=O)C(N2C(=O)c3ccccc3C2=O)C1S(=O)Cl>>C=C1CS(=O)C2C(N3C(=O)c4ccccc4C3=O)C(=O)N2C1C(=O)OC,[CH2:1]=[C:2]([CH3:3])[CH:4]([C:5](=[O:6])[O:7][CH3:8])[N:9]1[C:10](=[O:11])[CH:12]([N:13]2[C:14](=[O:15])[c:16]3[cH:17][cH:18][cH:19][cH:20][c:21]3[C:22]2=[O:23])[CH:24]1[S:25](=[O:26])[Cl:27]>>[CH2:1]1[C:2](=[CH2:3])[CH:4]([C:5](=[O:6])[O:7][CH3:8])[N:9]2[C:10](=[O:11])[CH:12]([N:13]3[C:14](=[O:15])[c:16]4[cH:17][cH:18][cH:19][cH:20][c:21]4[C:22]3=[O:23])[CH:24]2[S:25]1=[O:26],[CH2:3]=[C:2]([CH3:1])[CH:4]([C:5](=[O:6])[O:7][CH3:8])[N:9]1[C:10](=[O:11])[CH:12]([N:13]2[C:14](=[O:15])[c:16]3[cH:17][cH:18][cH:19][cH:20][c:21]3[C:22]2=[O:23])[CH:24]1[S:25](=[O:26])Cl>>[CH2:1]1[C:2](=[CH2:3])[CH:4]([C:5](=[O:6])[O:7][CH3:8])[N:9]2[C:10](=[O:11])[CH:12]([N:13]3[C:14](=[O:15])[c:16]4[cH:17][cH:18][cH:19][cH:20][c:21]4[C:22]3=[O:23])[CH:24]2[S:25]1=[O:26],Cl[S:4](=[O:5])[CH:6]1[CH:7]([N:8]2[C:9](=[O:10])[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[C:17]2=[O:18])[C:19](=[O:20])[N:21]1[CH:22]([C:2](=[CH2:1])[CH3:3])[C:23](=[O:24])[O:25][CH3:26]>>[CH2:1]=[C:2]1[CH2:3][S:4](=[O:5])[CH:6]2[CH:7]([N:8]3[C:9](=[O:10])[c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[C:17]3=[O:18])[C:19](=[O:20])[N:21]2[CH:22]1[C:23](=[O:24])[O:25][CH3:26],[cH:20]1[cH:21][cH:22][c:23]2[c:18]([cH:19]1)[C:16](=[O:17])[N:15]([C:24]2=[O:25])[CH:14]3[C:26](=[O:27])[N:9]([CH:10]3[S:11]([Cl:13])=[O:12])[CH:5]([C:6]([CH3:7])=[CH2:8])[C:3](=[O:4])[O:2][CH3:1]>>[cH:20]1[cH:21][cH:22][c:23]2[C:24](=[O:25])[N:15]([C:16](=[O:17])[c:18]2[cH:19]1)[CH:14]3[C:26]([N:9]4[CH:10]3[S:11]([CH2:7][C:6]([CH:5]4[C:3](=[O:4])[O:2][CH3:1])=[CH2:8])=[O:12])=[O:27],False,0.8217872865278533,0,golden
1171,CN1CCC(Oc2ccc([N+](=O)[O-])cc2)(c2ccccc2)CC1>>CN1CCC(Oc2ccc(N)cc2)(c2ccccc2)CC1,[CH3:1][N:2]1[CH2:3][CH2:4][C:5]([O:6][c:7]2[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]2)([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22][CH2:23]1>>[CH3:1][N:2]1[CH2:3][CH2:4][C:5]([O:6][c:7]2[cH:8][cH:9][c:10]([NH2:11])[cH:14][cH:15]2)([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22][CH2:23]1,[CH3:1][N:2]1[CH2:3][CH2:4][C:5]([O:6][c:7]2[cH:8][cH:9][c:10]([N+:11](=O)[O-])[cH:14][cH:15]2)([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22][CH2:23]1>>[CH3:1][N:2]1[CH2:3][CH2:4][C:5]([O:6][c:7]2[cH:8][cH:9][c:10]([NH2:11])[cH:14][cH:15]2)([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22][CH2:23]1,O=[N+:11]([O-])[c:10]1[cH:9][cH:8][c:7]([O:6][C:5]2([c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[CH2:4][CH2:3][N:2]([CH3:1])[CH2:21][CH2:20]2)[cH:13][cH:12]1>>[CH3:1][N:2]1[CH2:3][CH2:4][C:5]([O:6][c:7]2[cH:8][cH:9][c:10]([NH2:11])[cH:12][cH:13]2)([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:20][CH2:21]1,[cH:9]1[cH:8][c:7]([cH:15][cH:14][c:10]1[N+:11](=[O:12])[O-:13])[O:6][C:5]2([CH2:4][CH2:3][N:2]([CH2:23][CH2:22]2)[CH3:1])[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3>>[cH:9]1[cH:8][c:7]([cH:15][cH:14][c:10]1[NH2:11])[O:6][C:5]2([CH2:4][CH2:3][N:2]([CH2:23][CH2:22]2)[CH3:1])[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3,True,0.8982280971180067,0,golden
1172,C1CN2CCC(C2)N1.CCn1cc(C(=O)O)c(=O)c2cc(F)c(S(=O)(=O)CC)nc21.Cl.Cl>>CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN4CCC3C4)nc21,[CH2:23]1[CH2:24][N:25]2[CH2:26][CH:27]1[NH:28][CH2:29][CH2:30]2.[CH3:1][CH2:2][n:3]1[cH:4][c:5]([C:6](=[O:7])[OH:8])[c:9](=[O:10])[c:11]2[cH:12][c:13]([F:14])[c:15]([S:16](=[O:17])(=[O:18])[CH2:19][CH3:20])[n:21][c:22]12.[ClH:31].[ClH:32]>>[CH3:1][CH2:2][n:3]1[cH:4][c:5]([C:6](=[O:7])[OH:8])[c:9](=[O:10])[c:11]2[cH:12][c:13]([F:14])[c:15]([N:28]3[CH:27]4[CH2:23][CH2:24][N:25]([CH2:26]4)[CH2:30][CH2:29]3)[n:21][c:22]12,[CH2:23]1[CH2:24][N:25]2[CH2:26][CH:27]1[NH:28][CH2:29][CH2:30]2.[CH3:1][CH2:2][n:3]1[cH:4][c:5]([C:6](=[O:7])[OH:8])[c:9](=[O:10])[c:11]2[cH:12][c:13]([F:14])[c:15](S(=O)(=O)CC)[n:21][c:22]12.Cl.Cl>>[CH3:1][CH2:2][n:3]1[cH:4][c:5]([C:6](=[O:7])[OH:8])[c:9](=[O:10])[c:11]2[cH:12][c:13]([F:14])[c:15]([N:28]3[CH:27]4[CH2:23][CH2:24][N:25]([CH2:26]4)[CH2:30][CH2:29]3)[n:21][c:22]12,[NH:16]1[CH2:17][CH2:18][N:19]2[CH2:20][CH2:21][CH:22]1[CH2:23]2.CCS(=O)(=O)[c:15]1[c:13]([F:14])[cH:12][c:11]2[c:9](=[O:10])[c:5]([C:6](=[O:7])[OH:8])[cH:4][n:3]([CH2:2][CH3:1])[c:25]2[n:24]1.Cl.Cl>>[CH3:1][CH2:2][n:3]1[cH:4][c:5]([C:6](=[O:7])[OH:8])[c:9](=[O:10])[c:11]2[cH:12][c:13]([F:14])[c:15]([N:16]3[CH2:17][CH2:18][N:19]4[CH2:20][CH2:21][CH:22]3[CH2:23]4)[n:24][c:25]12,[CH2:5]1[CH2:4][N:3]2[CH2:7][CH:6]1[NH:8][CH2:1][CH2:2]2.[ClH:31].[ClH:32].[O:25]=[S:24](=[O:26])([c:23]1[n:29][c:30]2[n:11]([cH:12][c:13]([C:14]([OH:15])=[O:16])[c:17](=[O:18])[c:19]2[cH:20][c:21]1[F:22])[CH2:10][CH3:9])[CH2:27][CH3:28]>>[CH2:1]1[CH2:2][N:3]2[CH2:4][CH2:5][CH:6]([N:8]1[c:23]3[n:29][c:30]4[c:19]([cH:20][c:21]3[F:22])[c:17]([c:13]([C:14](=[O:16])[OH:15])[cH:12][n:11]4[CH2:10][CH3:9])=[O:18])[CH2:7]2,False,0.9579240594671308,0,golden
1173,O=C(NCCO)C1CC(=O)N(Cc2ccccc2)C1>>OCCNCC1CCN(Cc2ccccc2)C1,[O:1]=[C:2]([NH:3][CH2:4][CH2:5][OH:6])[CH:7]1[CH2:8][C:9](=[O:10])[N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19]1>>[CH2:2]([NH:3][CH2:4][CH2:5][OH:6])[CH:7]1[CH2:8][CH2:9][N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19]1,O=[C:2]([NH:3][CH2:4][CH2:5][OH:6])[CH:7]1[CH2:8][C:9](=O)[N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19]1>>[CH2:2]([NH:3][CH2:4][CH2:5][OH:6])[CH:7]1[CH2:8][CH2:9][N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19]1,O=[C:5]([NH:4][CH2:3][CH2:2][OH:1])[CH:6]1[CH2:7][C:8](=O)[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1>>[OH:1][CH2:2][CH2:3][NH:4][CH2:5][CH:6]1[CH2:7][CH2:8][N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1,[cH:14]1[cH:15][cH:16][cH:17][cH:18][c:13]1[CH2:12][N:11]2[CH2:19][CH:7]([C:5](=[O:6])[NH:4][CH2:3][CH2:2][OH:1])[CH2:8][C:9]2=[O:10]>>[cH:14]1[cH:15][cH:16][cH:17][cH:18][c:13]1[CH2:12][N:11]2[CH2:9][CH2:8][CH:7]([CH2:5][NH:4][CH2:3][CH2:2][OH:1])[CH2:19]2,True,0.8968788931492818,0,golden
1174,CS(=O)(=O)c1cnc(N)c([N+](=O)[O-])c1.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CS(=O)(=O)c1cnc(NC(=O)C(F)(F)F)c([N+](=O)[O-])c1,[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][c:8]([NH2:9])[c:10]([N+:11](=[O:12])[O-:13])[cH:14]1.[O:15]=[C:16]([O:17][C:18](=[O:19])[C:20]([F:21])([F:22])[F:23])[C:24]([F:25])([F:26])[F:27]>>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][c:8]([NH:9][C:16](=[O:15])[C:24]([F:25])([F:26])[F:27])[c:10]([N+:11](=[O:12])[O-:13])[cH:14]1,[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][c:8]([NH2:9])[c:10]([N+:11](=[O:12])[O-:13])[cH:14]1.[O:15]=[C:16](OC(=O)C(F)(F)F)[C:24]([F:25])([F:26])[F:27]>>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][c:8]([NH:9][C:16](=[O:15])[C:24]([F:25])([F:26])[F:27])[c:10]([N+:11](=[O:12])[O-:13])[cH:14]1,[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][c:8]([NH2:9])[c:16]([N+:17](=[O:18])[O-:19])[cH:20]1.O=C(O[C:10](=[O:11])[C:12]([F:13])([F:14])[F:15])C(F)(F)F>>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][c:8]([NH:9][C:10](=[O:11])[C:12]([F:13])([F:14])[F:15])[c:16]([N+:17](=[O:18])[O-:19])[cH:20]1,[F:21][C:20]([F:22])([F:23])[C:18](=[O:19])[O:17][C:16]([C:24]([F:25])([F:26])[F:27])=[O:15].[O:3]=[S:2](=[O:4])([c:5]1[cH:14][c:10]([c:8]([NH2:9])[n:7][cH:6]1)[N+:11](=[O:12])[O-:13])[CH3:1]>>[F:25][C:24]([F:26])([F:27])[C:16]([NH:9][c:8]1[c:10]([N+:11](=[O:13])[O-:12])[cH:14][c:5]([cH:6][n:7]1)[S:2](=[O:3])(=[O:4])[CH3:1])=[O:15],True,0.1127368188078678,0,golden
1175,CC[Si](CC)(CC)OC1(C2=CC3CC=CC3C2)CCCC1CC(OC)OC>>CC[SiH](CC)CC.COC1CC2CCCC(=O)C23CC2C=CCC2C13,[CH:1]12[CH2:2][CH:3]=[CH:4][CH:5]1[CH2:6][C:7]([C:9]1([O:20][Si:21]([CH2:22][CH3:23])([CH2:24][CH3:25])[CH2:26][CH3:27])[CH2:10][CH2:11][CH2:12][CH:13]1[CH2:14][CH:15]([O:16][CH3:17])[O:18][CH3:19])=[CH:8]2>>[CH:1]12[CH2:2][CH:3]=[CH:4][CH:5]1[CH2:6][C:7]13[CH:8]2[CH:15]([O:18][CH3:19])[CH2:14][CH:13]1[CH2:12][CH2:11][CH2:10][C:9]3=[O:20].[SiH:21]([CH2:22][CH3:23])([CH2:24][CH3:25])[CH2:26][CH3:27],[CH:1]12[CH2:2][CH:3]=[CH:4][CH:5]1[CH2:6][C:7]([C:9]1([O:20][Si:21]([CH2:22][CH3:23])([CH2:24][CH3:25])[CH2:26][CH3:27])[CH2:10][CH2:11][CH2:12][CH:13]1[CH2:14][CH:15]([O:18][CH3:19])OC)=[CH:8]2>>[CH:1]12[CH2:2][CH:3]=[CH:4][CH:5]1[CH2:6][C:7]13[CH:8]2[CH:15]([O:18][CH3:19])[CH2:14][CH:13]1[CH2:12][CH2:11][CH2:10][C:9]3=[O:20].[SiH:21]([CH2:22][CH3:23])([CH2:24][CH3:25])[CH2:26][CH3:27],CO[CH:10]([O:9][CH3:8])[CH2:11][CH:12]1[CH2:13][CH2:14][CH2:15][C:16]1([O:17][Si:3]([CH2:2][CH3:1])([CH2:4][CH3:5])[CH2:6][CH3:7])[C:18]1=[CH:25][CH:24]2[CH:20]([CH2:19]1)[CH:21]=[CH:22][CH2:23]2>>[CH3:1][CH2:2][SiH:3]([CH2:4][CH3:5])[CH2:6][CH3:7].[CH3:8][O:9][CH:10]1[CH2:11][CH:12]2[CH2:13][CH2:14][CH2:15][C:16](=[O:17])[C:18]23[CH2:19][CH:20]2[CH:21]=[CH:22][CH2:23][CH:24]2[CH:25]13,[CH3:1][CH2:2][Si:3]([CH2:4][CH3:5])([CH2:6][CH3:7])[O:8][C:9]1([CH:21]([CH2:20][CH2:19][CH2:18]1)[CH2:22][CH:23]([O:24][CH3:25])[O:26][CH3:27])[C:10]2=[CH:11][CH:12]3[CH:16]([CH2:17]2)[CH:15]=[CH:14][CH2:13]3>>[CH2:18]1[C:9]([C:10]23[CH2:17][CH:16]4[CH:12]([CH2:13][CH:14]=[CH:15]4)[CH:11]3[CH:23]([O:26][CH3:27])[CH2:22][CH:21]2[CH2:20][CH2:19]1)=[O:8].[CH3:1][CH2:2][SiH:3]([CH2:4][CH3:5])[CH2:6][CH3:7],False,0.2429546872609929,0,golden
1176,C=COCC.CC(=O)C1(C#Cc2ccccc2)CC1.O>>CC12CC=C(C(=O)c3ccccc3)C1(O)CC2,[CH3:1][CH2:2][O:3][CH:4]=[CH2:5].[OH2:15].[c:6]1([C:7]#[C:8][C:9]2([C:12]([CH3:13])=[O:14])[CH2:10][CH2:11]2)[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH:4]1=[C:8]([C:7]([c:6]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)=[O:14])[C:9]2([OH:15])[CH2:10][CH2:11][C:12]2([CH3:13])[CH2:5]1,CCO[CH:4]=[CH2:5].[OH2:15].[c:6]1([C:7]#[C:8][C:9]2([C:12]([CH3:13])=[O:14])[CH2:10][CH2:11]2)[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH:4]1=[C:8]([C:7]([c:6]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)=[O:14])[C:9]2([OH:15])[CH2:10][CH2:11][C:12]2([CH3:13])[CH2:5]1,CCO[CH:4]=[CH2:1].[C:2]([CH3:3])(=[O:7])[C:14]1([C:5]#[C:6][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:16][CH2:17]1.[OH2:15]>>[CH3:1][C:2]12[CH2:3][CH:4]=[C:5]([C:6](=[O:7])[c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[C:14]1([OH:15])[CH2:16][CH2:17]2,[CH2:13]1[CH2:14][C:4]1([C:5]#[C:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[C:2]([CH3:1])=[O:3].[CH2:19]=[CH:18][O:17][CH2:16][CH3:15].[OH2:20]>>[cH:9]1[cH:8][c:7]([cH:12][cH:11][cH:10]1)[C:6]([C:5]=2[C:2]3([CH2:19][CH2:13][C:4]3([CH3:1])[CH2:14][CH:18]=2)[OH:3])=[O:20],False,0.3077755931661813,0,golden
1177,C=COCC.CC#CC1(C(C)=O)CC1.O>>CC(=O)C1=CCC2(C)CCC12O,[CH3:1][CH2:2][O:3][CH:4]=[CH2:5].[CH3:6][C:7]#[C:8][C:9]1([C:12]([CH3:13])=[O:14])[CH2:10][CH2:11]1.[OH2:15]>>[CH:4]1=[C:8]([C:7]([CH3:6])=[O:14])[C:9]2([OH:15])[CH2:10][CH2:11][C:12]2([CH3:13])[CH2:5]1,CCO[CH:11]=[CH2:10].[CH3:13][C:12]#[C:9][C:8]1([C:7]([CH3:6])=[O:14])[CH2:4][CH2:5]1.[OH2:15]>>[CH:4]1=[C:8]([C:7]([CH3:6])=[O:14])[C:9]2([OH:15])[CH2:10][CH2:11][C:12]2([CH3:13])[CH2:5]1,C(OC[CH3:9])=[CH2:8].[CH3:1][C:2](=[O:3])[C:4]1([C:5]#[C:6][CH3:7])[CH2:10][CH2:11]1.[OH2:12]>>[CH3:1][C:2](=[O:3])[C:4]1=[CH:5][CH2:6][C:7]2([CH3:8])[CH2:9][CH2:10][C:11]12[OH:12],[CH2:14]=[CH:13][O:12][CH2:11][CH3:10].[CH2:8]1[CH2:9][C:4]1([C:5](=[O:7])[CH3:6])[C:3]#[C:2][CH3:1].[OH2:15]>>[O:7]=[C:5]([C:14]=1[C:3]2([OH:15])[C:4]([CH2:8][CH:13]=1)([CH2:9][CH2:2]2)[CH3:1])[CH3:6],False,0.2237174438444702,0,golden
1178,COC(=O)C12CC3C(OC(=S)n4ccnc4)C(C(C)(C)O)CC31CCC2=O>>COC(=O)C1CC(=O)CCC12C=CC(C(C)(C)O)C2,[CH:1]12[CH2:2][C:3]3([C:4](=[O:5])[O:6][CH3:7])[C:8](=[O:9])[CH2:10][CH2:11][C:12]13[CH2:13][CH:14]([C:24]([CH3:25])([CH3:26])[OH:27])[CH:15]2[O:16][C:17](=[S:18])[n:19]1[cH:20][cH:21][n:22][cH:23]1>>[CH:1]1=[CH:15][CH:14]([C:24]([CH3:25])([CH3:26])[OH:27])[CH2:13][C:12]12[CH:3]([C:4](=[O:5])[O:6][CH3:7])[CH2:2][C:8](=[O:9])[CH2:10][CH2:11]2,[CH:1]12[CH2:2][C:3]3([C:4](=[O:5])[O:6][CH3:7])[C:8](=[O:9])[CH2:10][CH2:11][C:12]13[CH2:13][CH:14]([C:24]([CH3:25])([CH3:26])[OH:27])[CH:15]2OC(=S)n1ccnc1>>[CH:1]1=[CH:15][CH:14]([C:24]([CH3:25])([CH3:26])[OH:27])[CH2:13][C:12]12[CH:3]([C:4](=[O:5])[O:6][CH3:7])[CH2:2][C:8](=[O:9])[CH2:10][CH2:11]2,S=C(O[CH:13]1[CH:12]2[CH2:6][C:5]3([C:3]([O:2][CH3:1])=[O:4])[C:7](=[O:8])[CH2:9][CH2:10][C:11]32[CH2:19][CH:14]1[C:15]([CH3:16])([CH3:17])[OH:18])n1ccnc1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]1[CH2:6][C:7](=[O:8])[CH2:9][CH2:10][C:11]12[CH:12]=[CH:13][CH:14]([C:15]([CH3:16])([CH3:17])[OH:18])[CH2:19]2,[CH3:19][C:18]([CH3:20])([CH:17]1[CH:8]([O:9][C:10]([n:12]2[cH:13][cH:14][n:15][cH:16]2)=[S:11])[CH:7]3[CH2:6][C:5]4([C:3]([O:2][CH3:1])=[O:4])[C:23]3([CH2:24][CH2:25][C:26]4=[O:27])[CH2:22]1)[OH:21]>>[CH3:19][C:18]([CH3:20])([OH:21])[CH:17]1[CH2:22][C:23]2([CH2:24][CH2:25][C:26]([CH2:6][CH:5]2[C:3](=[O:4])[O:2][CH3:1])=[O:27])[CH:7]=[CH:8]1,False,0.5903153279608507,0,golden
1179,C1=NC1c1ccccc1.O=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1>>C1=NC(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1c1ccccc1,[O:1]=[C:2]1[C:3]([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)=[C:4]([c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[C:5]([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)=[C:6]1[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[cH:31]1[cH:32][cH:33][c:34]([CH:37]2[N:38]=[CH:39]2)[cH:35][cH:36]1>>[C:3]1([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)=[C:37]([c:34]2[cH:33][cH:32][cH:31][cH:36][cH:35]2)[N:38]=[CH:39][CH:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[C:5]([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)=[C:4]1[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1,O=C1[C:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)=[C:5]([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[C:4]([c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)=[C:3]1[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1.[cH:31]1[cH:32][cH:33][c:34]([CH:37]2[N:38]=[CH:39]2)[cH:35][cH:36]1>>[C:3]1([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)=[C:37]([c:34]2[cH:33][cH:32][cH:31][cH:36][cH:35]2)[N:38]=[CH:39][CH:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[C:5]([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)=[C:4]1[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1,[CH:1]1=[N:2][CH:31]1[c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1.O=C1[C:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)=[C:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17]([c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)=[C:24]1[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1>>[CH:1]1=[N:2][C:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)=[C:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17]([c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)=[C:24]([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH:31]1[c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1,[cH:14]1[cH:15][cH:16][cH:17][cH:18][c:13]1[C:12]2=[C:19]([C:26](=[C:33]([c:34]3[cH:35][cH:36][cH:37][cH:38][cH:39]3)[C:11]2=[O:10])[c:27]4[cH:32][cH:31][cH:30][cH:29][cH:28]4)[c:20]5[cH:25][cH:24][cH:23][cH:22][cH:21]5.[cH:6]1[cH:5][c:4]([cH:9][cH:8][cH:7]1)[CH:3]2[CH:1]=[N:2]2>>[cH:6]1[cH:5][c:4]([cH:9][cH:8][cH:7]1)[CH:3]2[CH:1]=[N:2][C:33]([c:11]3[cH:35][cH:36][cH:37][cH:38][cH:39]3)=[C:26]([c:27]4[cH:32][cH:31][cH:30][cH:29][cH:28]4)[C:19](=[C:12]2[c:13]5[cH:18][cH:17][cH:16][cH:15][cH:14]5)[c:20]6[cH:25][cH:24][cH:23][cH:22][cH:21]6,False,0.1120154649695061,0,golden
1181,C=CC(O)C1OC(C)(C)OC1CO[Si](C)(C)C(C)(C)C.COC(C)(OC)OC>>COC(=O)CCC=CC1OC(C)(C)OC1CO[Si](C)(C)C(C)(C)C,[CH3:1][O:2][C:3]([O:4][CH3:5])([O:6][CH3:7])[CH3:8].[CH3:9][C:10]([CH3:11])([Si:12]([CH3:13])([O:14][CH2:15][CH:16]1[O:17][C:18]([CH3:19])([CH3:26])[O:20][CH:21]1[CH:22]([CH:23]=[CH2:24])[OH:25])[CH3:27])[CH3:28]>>[CH3:1][O:2][C:3](=[O:4])[CH2:8][CH2:24][CH:23]=[CH:22][CH:21]1[CH:16]([CH2:15][O:14][Si:12]([C:10]([CH3:9])([CH3:11])[CH3:28])([CH3:13])[CH3:27])[O:17][C:18]([CH3:19])([CH3:26])[O:20]1,[CH3:1][O:2][C:3]([O:4]C)(OC)[CH3:8].[CH3:9][C:10]([CH3:11])([Si:12]([CH3:13])([O:14][CH2:15][CH:16]1[O:17][C:18]([CH3:19])([CH3:26])[O:20][CH:21]1[CH:22]([CH:23]=[CH2:24])O)[CH3:27])[CH3:28]>>[CH3:1][O:2][C:3](=[O:4])[CH2:8][CH2:24][CH:23]=[CH:22][CH:21]1[CH:16]([CH2:15][O:14][Si:12]([C:10]([CH3:9])([CH3:11])[CH3:28])([CH3:13])[CH3:27])[O:17][C:18]([CH3:19])([CH3:26])[O:20]1,O[CH:8]([CH:7]=[CH2:6])[CH:9]1[O:10][C:11]([CH3:12])([CH3:13])[O:14][CH:15]1[CH2:16][O:17][Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24].CO[C:3]([O:2][CH3:1])([O:4]C)[CH3:5]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][CH:7]=[CH:8][CH:9]1[O:10][C:11]([CH3:12])([CH3:13])[O:14][CH:15]1[CH2:16][O:17][Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24],[CH3:12][C:11]([CH3:13])([CH3:14])[Si:8]([CH3:9])([CH3:10])[O:7][CH2:6][CH:5]1[O:4][C:2]([CH3:1])([CH3:3])[O:20][CH:15]1[CH:16]([OH:17])[CH:18]=[CH2:19].[O:22]([CH3:21])[C:23]([O:25][CH3:26])([O:27][CH3:28])[CH3:24]>>[CH3:12][C:11]([CH3:13])([CH3:14])[Si:8]([CH3:9])([CH3:10])[O:7][CH2:6][CH:5]1[O:4][C:2]([CH3:1])([CH3:3])[O:20][CH:15]1[CH:16]=[CH:18][CH2:19][CH2:24][C:23]([O:22][CH3:21])=[O:17],False,0.0611098458326634,0,golden
