reaction,mapped_reaction
COC(C(C)C)=O.CN(C1=CC=C(C=C1)Br)C.C2(CCCCC2)[N-]C3CCCCC3>>COC(C(C)(C4=CC=C(N(C)C)C=C4)C)=O.C5(CCCCC5)NC6CCCCC6.[Br-],[#6:1]-[#8:2]-[#6:3](=[O:7])-[#6:4](-[#6:5])-[#6:6].[#6:8]-[#7:9](-[#6:17])-[#6:10]-1=[#6:11]-[#6:12]=[#6:13]([Br:16])-[#6:14]=[#6:15]-1.[#6:21]-1-[#6:20]-[#6:19]-[#6:18](-[#6:23]-[#6:22]-1)-[#7-:24]-[#6:25]-1-[#6:26]-[#6:27]-[#6:28]-[#6:29]-[#6:30]-1>>[#6:1]-[#8:2]-[#6:3](=[O:7])[C:4]([#6:5])([#6:6])[#6:13]-1=[#6:12]-[#6:11]=[#6:10](-[#6:15]=[#6:14]-1)-[#7:9](-[#6:8])-[#6:17].[#6:28]-1-[#6:29]-[#6:30]-[#6:25](-[#6:26]-[#6:27]-1)-[#7:24]-[#6:18]-1-[#6:23]-[#6:22]-[#6:21]-[#6:20]-[#6:19]-1.[Br-:16]
[H]C(C1=CC=CC=C1)=O.CC2=C(C=CC=C2)N.[H][H]>>CC3=C(C=CC=C3)NCC4=CC=CC=C4.O,[O:8]=[CH:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1.[CH3:9][C:10]1=[C:11]([NH2:16])[CH:12]=[CH:13][CH:14]=[CH:15]1>>[CH3:9][C:10]1=[C:11]([NH:16][CH2:1][C:2]2=[CH:7][CH:6]=[CH:5][CH:4]=[CH:3]2)[CH:12]=[CH:13][CH:14]=[CH:15]1.[OH2:8]
NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O.S.S.S>>NC2=C(N)C=C(C=C2)N(=O)=O.O.O.[S].[S].[S],[#7:1]-[#6:2]-1=[#6:3](-[#6:4]=[#6:5](-[#6:6]=[#6:7]-1)[N:8](=[O:9])=[O:10])[N:11](=[O:12])=[O:13].[#16:14].[#16:15].[#16:16]>>[#7:1]-[#6:2]-1=[#6:3](-[#7:11])-[#6:4]=[#6:5](-[#6:6]=[#6:7]-1)[N:8](=[O:10])=[O:9].[#8:12].[#8:13].[#16:16].[#16:15].[#16:14]
BrC1=CSC=C1.COC(C(C)C)=O.C2(CCCCC2)[N-]C3CCCCC3>>COC(C(C)(C4=CSC=C4)C)=O.C5(CCCCC5)NC6CCCCC6.[Br-],[Br:1][#6:2]-1=[#6:3]-[#16:4]-[#6:5]=[#6:6]-1.[#6:7]-[#8:8]-[#6:9](=[O:13])-[#6:10](-[#6:11])-[#6:12].[#6:17]-1-[#6:16]-[#6:15]-[#6:14](-[#6:19]-[#6:18]-1)-[#7-:20]-[#6:21]-1-[#6:22]-[#6:23]-[#6:24]-[#6:25]-[#6:26]-1>>[#6:7]-[#8:8]-[#6:9](=[O:13])[C:10]([#6:12])([#6:11])[#6:2]-1=[#6:3]-[#16:4]-[#6:5]=[#6:6]-1.[#6:24]-1-[#6:25]-[#6:26]-[#6:21](-[#6:22]-[#6:23]-1)-[#7:20]-[#6:14]-1-[#6:19]-[#6:18]-[#6:17]-[#6:16]-[#6:15]-1.[Br-:1]
CCN(CC)CC.CCN(CC)CC.O=C(C(F)(F)F)OC(C(F)(F)F)=O.O/N=C(CC1=CC=C(C=N1)C(F)(F)F)\C2=CC(Br)=CC=C2>>FC(C3=CC=C(N=C3)C4N=C4C5=CC(Br)=CC=C5)(F)F.[O-]C(C(F)(F)F)=O.[O-]C(C(F)(F)F)=O.CC[NH+](CC)CC.CC[NH+](CC)CC,[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[#6:8]-[#6:9]-[#7:10](-[#6:11]-[#6:12])-[#6:13]-[#6:14].[F:18][C:17]([F:19])([F:20])[#6:16](=[O:15])-[#8:21]-[#6:22](=[O:27])[C:23]([F:24])([F:25])[F:26].[#8:28]\[#7:29]=[#6:30](\[#6:31]-[#6:32]-1=[#6:33]-[#6:34]=[#6:35](-[#6:36]=[#7:37]-1)[C:38]([F:39])([F:40])[F:41])-[#6:42]-1=[#6:43]-[#6:44]([Br:45])=[#6:46]-[#6:47]=[#6:48]-1>>[F:39][C:38]([F:40])([F:41])[#6:35]-1=[#6:34]-[#6:33]=[#6:32](-[#7:37]=[#6:36]-1)-[#6:31]-1-[#7:29]=[#6:30]-1-[#6:42]-1=[#6:43]-[#6:44]([Br:45])=[#6:46]-[#6:47]=[#6:48]-1.[#8-:28]-[#6:16](=[O:15])[C:17]([F:18])([F:19])[F:20].[#8-:21]-[#6:22](=[O:27])[C:23]([F:24])([F:25])[F:26].[#6:7]-[#6:6]-[#7+:3](-[#6:4]-[#6:5])-[#6:2]-[#6:1].[#6:12]-[#6:11]-[#7+:10](-[#6:9]-[#6:8])-[#6:13]-[#6:14]
O=C(CC1=CC=C(C=N1)C(F)(F)F)C2=CC(Br)=CC=C2.NO>>O/N=C(CC3=CC=C(C=N3)C(F)(F)F)\C4=CC(Br)=CC=C4.O,[F:11][C:10]([F:12])([F:13])[#6:7]-1=[#6:6]-[#6:5]=[#6:4](-[#6:3]-[#6:2](=[O:1])-[#6:14]-2=[#6:15]-[#6:16]([Br:17])=[#6:18]-[#6:19]=[#6:20]-2)-[#7:9]=[#6:8]-1.[#7:21]-[#8:22]>>[#8:22]\[#7:21]=[#6:2](\[#6:3]-[#6:4]-1=[#6:5]-[#6:6]=[#6:7](-[#6:8]=[#7:9]-1)[C:10]([F:11])([F:12])[F:13])-[#6:14]-1=[#6:15]-[#6:16]([Br:17])=[#6:18]-[#6:19]=[#6:20]-1.[#8:1]
FC(F)(F)C1=CC=C(Cl)N=C1.O=C(C)C2=CC(Br)=CC=C2.[H-]>>O=C(CC3=CC=C(C=N3)C(F)(F)F)C4=CC(Br)=CC=C4.[Cl-].[HH],[F:1][C:2]([F:3])([F:4])[#6:5]-1=[#6:6]-[#6:7]=[#6:8]([Cl:9])-[#7:10]=[#6:11]-1.[#6:14]-[#6:13](=[O:12])-[#6:15]-1=[#6:16]-[#6:17]([Br:18])=[#6:19]-[#6:20]=[#6:21]-1>>[F:1][C:2]([F:3])([F:4])[#6:5]-1=[#6:6]-[#6:7]=[#6:8](-[#6:14]-[#6:13](=[O:12])-[#6:15]-2=[#6:16]-[#6:17]([Br:18])=[#6:19]-[#6:20]=[#6:21]-2)-[#7:10]=[#6:11]-1.[Cl-:9]
C1COCCN1.O=C1CCCCC1>>C1CCC(=CC1)N1CCOCC1.O,[#6:1]-1-[#6:2]-[#8:3]-[#6:4]-[#6:5]-[#7:6]-1.[O:7]=[#6:8]-1-[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#6:13]-1>>[#6:11]-1-[#6:12]-[#6:13]-[#6:8](=[#6:9]-[#6:10]-1)-[#7:6]-1-[#6:5]-[#6:4]-[#8:3]-[#6:2]-[#6:1]-1.[#8:7]
NC1=CC=CC=C1.C=C(O2)CC2=O>>O=C(CC(C)=O)NC3=CC=CC=C3,[#7:1]-[#6:2]-1=[#6:3]-[#6:4]=[#6:5]-[#6:6]=[#6:7]-1.[#6:8]=[#6:9]-1-[#6:11]-[#6:12](=[O:13])-[#8:10]-1>>[#6:8]-[#6:9](=[O:10])-[#6:11]-[#6:12](=[O:13])-[#7:1]-[#6:2]-1=[#6:7]-[#6:6]=[#6:5]-[#6:4]=[#6:3]-1
OO.CC1=CN=CC=C1>>CC2=CC=C[N+]([O-])=C2.O,[#8:1]-[#8:2].[#6:3]-[#6:4]-1=[#6:5]-[#7:6]=[#6:7]-[#6:8]=[#6:9]-1>>[#6:3]-[#6:4]-1=[#6:9]-[#6:8]=[#6:7]-[#7+:6](-[#8-:1])=[#6:5]-1.[#8:2]
O[N+]([O-])=O.CC1=CC=C[N+]([O-])=C1>>CC2=C([N+]([O-])=O)C=C[N+]([O-])=C2.O,[#8:1]-[#7+:2](-[#8-:3])=[O:4].[#6:5]-[#6:6]-1=[#6:7]-[#6:8]=[#6:9]-[#7+:10](-[#8-:11])=[#6:12]-1>>[#6:5]-[#6:6]-1=[#6:7](-[#6:8]=[#6:9]-[#7+:10](-[#8-:11])=[#6:12]-1)-[#7+:2](-[#8-:3])=[O:4].[#8:1]
BrBr.OC1=CC=CC=C1>>BrC2=CC=C(O)C=C2.[H]Br,[Br:1][Br:2].[#8:3]-[#6:4]-1=[#6:5]-[#6:6]=[#6:7]-[#6:8]=[#6:9]-1>>[#8:3]-[#6:4]-1=[#6:9]-[#6:8]=[#6:7]([Br:2])-[#6:6]=[#6:5]-1.[Br:1]
[O+]#[C-].[O+]#[C-].O=C(C1=CC=CC(N(=O)=O)=C1/C=C/C2=CC=CO2)N(C)C>>CN(C(C3=CC=CC4=C3C=C(C5=CC=CO5)N4)=O)C.O=C=O.O=C=O,[C-:2]#[O+:1].[C-:4]#[O+:3].[#6:24]-[#7:23](-[#6:25])-[#6:6](=[O:5])-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11](=[#6:15]-1\[#6:16]=[#6:17]\[#6:18]-1=[#6:19]-[#6:20]=[#6:21]-[#8:22]1)[N:12](=[O:13])=[O:14]>>[#6:24]-[#7:23](-[#6:25])-[#6:6](=[O:5])-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11]-2=[#6:15]-1-[#6:16]=[#6:17](-[#7:12]-2)-[#6:18]-1=[#6:19]-[#6:20]=[#6:21]-[#8:22]-1.[O:1]=[C:2]=[O:13].[O:3]=[C:4]=[O:14]
[C-]#[O+].[C-]#[O+].FC1=CC=C(C=C1)/C=C/C2=C(N(=O)=O)C=CC=C2C(N3CCCC3)=O>>FC4=CC=C(C5=CC6=C(C=CC=C6C(N7CCCC7)=O)N5)C=C4.O=C=O.O=C=O,[C-:1]#[O+:2].[C-:3]#[O+:4].[F:5][#6:6]-1=[#6:7]-[#6:8]=[#6:9](\[#6:12]=[#6:13]\[#6:14]-2=[#6:15](-[#6:19]=[#6:20]-[#6:21]=[#6:22]2-[#6:23](=[O:29])-[#7:24]-2-[#6:25]-[#6:26]-[#6:27]-[#6:28]-2)[N:16](=[O:17])=[O:18])-[#6:10]=[#6:11]-1>>[F:5][#6:6]-1=[#6:7]-[#6:8]=[#6:9](-[#6:10]=[#6:11]-1)-[#6:12]-1=[#6:13]-[#6:14]-2=[#6:15](-[#7:16]-1)-[#6:19]=[#6:20]-[#6:21]=[#6:22]-2-[#6:23](=[O:29])-[#7:24]-1-[#6:25]-[#6:26]-[#6:27]-[#6:28]-1.[O:2]=[C:1]=[O:17].[O:4]=[C:3]=[O:18]
COC(C(C)C)=O.FC1=CC=C(C=C1)Br.C2(CCCCC2)[N-]C3CCCCC3>>COC(C(C)(C4=CC=C(C=C4)F)C)=O.C5(CCCCC5)NC6CCCCC6.[Br-],[#6:1]-[#8:2]-[#6:3](=[O:7])-[#6:4](-[#6:5])-[#6:6].[F:8][#6:9]-1=[#6:10]-[#6:11]=[#6:12]([Br:15])-[#6:13]=[#6:14]-1.[#6:19]-1-[#6:18]-[#6:17]-[#6:16](-[#6:21]-[#6:20]-1)-[#7-:22]-[#6:23]-1-[#6:24]-[#6:25]-[#6:26]-[#6:27]-[#6:28]-1>>[#6:1]-[#8:2]-[#6:3](=[O:7])[C:4]([#6:6])([#6:5])[#6:12]-1=[#6:13]-[#6:14]=[#6:9]([F:8])-[#6:10]=[#6:11]-1.[#6:26]-1-[#6:27]-[#6:28]-[#6:23](-[#6:24]-[#6:25]-1)-[#7:22]-[#6:16]-1-[#6:21]-[#6:20]-[#6:19]-[#6:18]-[#6:17]-1.[Br-:15]
[C-]#[O+].[C-]#[O+].O=C(C1=CC=CC(N(=O)=O)=C1/C=C/C2=CC3=C(C=C2)OCO3)N4CCOCC4>>O=C(C5=CC=CC6=C5C=C(C7=CC8=C(C=C7)OCO8)N6)N9CCOCC9.O=C=O.O=C=O,[C-:1]#[O+:2].[C-:3]#[O+:4].[O:5]=[#6:6](-[#7:27]-1-[#6:28]-[#6:29]-[#8:30]-[#6:31]-[#6:32]-1)-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11](=[#6:15]-1\[#6:16]=[#6:17]\[#6:18]-1=[#6:19]-[#6:20]-2=[#6:21](-[#8:24]-[#6:25]-[#8:26]-2)-[#6:22]=[#6:23]1)[N:12](=[O:13])=[O:14]>>[O:5]=[#6:6](-[#7:27]-1-[#6:28]-[#6:29]-[#8:30]-[#6:31]-[#6:32]-1)-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11]-2=[#6:15]-1-[#6:16]=[#6:17](-[#7:12]-2)-[#6:18]-1=[#6:19]-[#6:20]-2=[#6:21](-[#8:24]-[#6:25]-[#8:26]-2)-[#6:22]=[#6:23]-1.[O:2]=[C:1]=[O:13].[O:4]=[C:3]=[O:14]
N.N.ClC1=CC(Cl)=C(C=C1N(=O)=O)N(=O)=O>>NC1=CC(N)=C(C=C1N(=O)=O)N(=O)=O.Cl.Cl,[#7:1].[#7:2].[Cl:3][#6:4]-1=[#6:5]-[#6:6]([Cl:7])=[#6:8](-[#6:9]=[#6:10]-1[N:11](=[O:12])=[O:13])[N:14](=[O:15])=[O:16]>>[#7:2]-[#6:4]-1=[#6:5]-[#6:6](-[#7:1])=[#6:8](-[#6:9]=[#6:10]-1[N:11](=[O:12])=[O:13])[N:14](=[O:15])=[O:16].[Cl:3].[Cl:7]
OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1>>OC(=O)C1C2=C(C=CC=C2)C2=C1C=CC=C2.O,[#8:1]-[#6:2](=[O:3])[C:4]([#8:5])([#6:6]-1=[#6:7]-[#6:8]=[#6:9]-[#6:10]=[#6:11]-1)[#6:12]-1=[#6:13]-[#6:14]=[#6:15]-[#6:16]=[#6:17]-1>>[#8:1]-[#6:2](=[O:3])-[#6:4]-1-[#6:6]-2=[#6:7](-[#6:8]=[#6:9]-[#6:10]=[#6:11]-2)-[#6:13]-2=[#6:12]-1-[#6:17]=[#6:16]-[#6:15]=[#6:14]-2.[#8:5]
ON=O.NNC1=CC=CC=C1>>[N-]=[N+]=NC2=CC=CC=C2.O.O,[OH:1][N:2]=[O:3].[NH2:4][NH:5][C:6]1=[CH:7][CH:8]=[CH:9][CH:10]=[CH:11]1>>[N-:2]=[N+:4]=[N:5][C:6]1=[CH:11][CH:10]=[CH:9][CH:8]=[CH:7]1.[OH2:3].[OH2:1]
BrBr.CC1=CC(C)=CC(C)=C1>>CC2=CC(C)=C(C(C)=C2)Br.Br,[Br:1][Br:2].[#6:3]-[#6:4]-1=[#6:5]-[#6:6](-[#6:7])=[#6:8]-[#6:9](-[#6:10])=[#6:11]-1>>[#6:3]-[#6:4]-1=[#6:11]-[#6:9](-[#6:10])=[#6:8]([Br:2])-[#6:6](-[#6:7])=[#6:5]-1.[Br:1]
CC([O-])=O.CC1(C)OI(Cl)C2=CC=CC=C12.C[Si](C(F)(F)F)(C)C>>CC3(C)OI(C4=C3C=CC=C4)C(F)(F)F.C[Si](OC(C)=O)(C)C.[Cl-],[#6:1]-[#6:2](-[#8-:3])=[O:4].[#6:5][C:6]1([#6:7])[#8:8][I:9]([Cl:10])[#6:11]-2=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]1-2.[#6:17][Si:18]([#6:23])([#6:24])[C:19]([F:20])([F:21])[F:22]>>[#6:5][C:6]1([#6:7])[#8:8][I:9]([#6:11]-2=[#6:16]1-[#6:15]=[#6:14]-[#6:13]=[#6:12]-2)[C:19]([F:20])([F:21])[F:22].[#6:1]-[#6:2](=[O:4])-[#8:3][Si:18]([#6:24])([#6:23])[#6:17].[Cl-:10]
O=NO.NC1=C(C=CC=C1)N>>C23=CC=CC=C2NN=N3.O.O,[#8:3]-[#7:2]=[O:1].[#7:4]-[#6:5]-1=[#6:6](-[#7:11])-[#6:7]=[#6:8]-[#6:9]=[#6:10]-1>>[#7:11]-1-[#7:2]=[#7:4]-[#6:5]-2=[#6:10]-[#6:9]=[#6:8]-[#6:7]=[#6:6]-1-2.[#8:3].[#8:1]
[C-]#[O+].[C-]#[O+].CS(=O)(N1CCN(C(C2=CC=CC(N(=O)=O)=C2/C=C/C3=CC(Cl)=CC(F)=C3)=O)CC1)=O>>CS(=O)(N4CCN(C(C5=CC=CC6=C5C=C(C7=CC(Cl)=CC(F)=C7)N6)=O)CC4)=O.O=C=O.O=C=O,[C-:1]#[O+:2].[C-:3]#[O+:4].[#6:5][S:6](=[O:7])(=[O:35])[#7:8]-1-[#6:9]-[#6:10]-[#7:11](-[#6:33]-[#6:34]-1)-[#6:12](=[O:32])-[#6:13]-1=[#6:14]-[#6:15]=[#6:16]-[#6:17](=[#6:21]-1\[#6:22]=[#6:23]\[#6:24]-1=[#6:25]-[#6:26]([Cl:27])=[#6:28]-[#6:29]([F:30])=[#6:31]1)[N:18](=[O:19])=[O:20]>>[#6:5][S:6](=[O:35])(=[O:7])[#7:8]-1-[#6:9]-[#6:10]-[#7:11](-[#6:33]-[#6:34]-1)-[#6:12](=[O:32])-[#6:13]-1=[#6:14]-[#6:15]=[#6:16]-[#6:17]-2=[#6:21]-1-[#6:22]=[#6:23](-[#7:18]-2)-[#6:24]-1=[#6:25]-[#6:26]([Cl:27])=[#6:28]-[#6:29]([F:30])=[#6:31]-1.[O:2]=[C:1]=[O:19].[O:4]=[C:3]=[O:20]
O=N(O)=O.O=N(O)=O.CC1=C(C=C(C(C)=C1)C)C>>CC2=C(C([N+]([O-])=O)=C(C(C)=C2[N+]([O-])=O)C)C.O.O,[#8:3][N:2](=[O:1])=[O:4].[#8:7][N:6](=[O:5])=[O:8].[#6:15]-[#6:14]-1=[#6:16]-[#6:10](-[#6:9])=[#6:11](-[#6:18])-[#6:12]=[#6:13]-1-[#6:17]>>[#6:15]-[#6:14]-1=[#6:13](-[#6:17])-[#6:12](=[#6:11](-[#6:18])-[#6:10](-[#6:9])=[#6:16]-1-[#7+:6](-[#8-:5])=[O:8])-[#7+:2](-[#8-:1])=[O:4].[#8:7].[#8:3]
[C-]#[O+].[C-]#[O+].CC(C)(OC(N1CCN(C(C2=CC=CC(N(=O)=O)=C2/C=C/C3=CC4=C(C=C3)OCO4)=O)CC1)=O)C>>CC(C)(OC(N5CCN(C(C6=CC=CC7=C6C=C(C8=CC9=C(C=C8)OCO9)N7)=O)CC5)=O)C.O=C=O.O=C=O,[C-:1]#[O+:2].[C-:3]#[O+:4].[#6:5][C:6]([#6:7])([#6:39])[#8:8]-[#6:9](=[O:38])-[#7:10]-1-[#6:11]-[#6:12]-[#7:13](-[#6:36]-[#6:37]-1)-[#6:14](=[O:35])-[#6:15]-1=[#6:16]-[#6:17]=[#6:18]-[#6:19](=[#6:23]-1\[#6:24]=[#6:25]\[#6:26]-1=[#6:27]-[#6:28]-2=[#6:29](-[#8:32]-[#6:33]-[#8:34]-2)-[#6:30]=[#6:31]1)[N:20](=[O:21])=[O:22]>>[#6:7][C:6]([#6:5])([#6:39])[#8:8]-[#6:9](=[O:38])-[#7:10]-1-[#6:11]-[#6:12]-[#7:13](-[#6:36]-[#6:37]-1)-[#6:14](=[O:35])-[#6:15]-1=[#6:16]-[#6:17]=[#6:18]-[#6:19]-2=[#6:23]-1-[#6:24]=[#6:25](-[#7:20]-2)-[#6:26]-1=[#6:27]-[#6:28]-2=[#6:29](-[#8:32]-[#6:33]-[#8:34]-2)-[#6:30]=[#6:31]-1.[O:2]=[C:1]=[O:21].[O:4]=[C:3]=[O:22]
BrBr.CC1=C(C(OC)=O)C=CC=C1[N+]([O-])=O>>O=C(OC)C2=C(CBr)C([N+]([O-])=O)=CC=C2.[Br],[#6:6]-[#8:5]-[#6:4](=[O:7])-[#6:3]-1=[#6:2](-[#6:1])-[#6:11](=[#6:10]-[#6:9]=[#6:8]-1)-[#7+:12](-[#8-:13])=[O:14].[Br:15][Br:16]>>[Br:16].[#6:6]-[#8:5]-[#6:4](=[O:7])-[#6:3]-1=[#6:2](-[#6:1][Br:15])-[#6:11](=[#6:10]-[#6:9]=[#6:8]-1)-[#7+:12](-[#8-:13])=[O:14]
CCN(CC)CC.CCSCO.CC(C)([Si](C)(Cl)C)C>>CCSCO[Si](C)(C(C)(C)C)C.CC[NH+](CC)CC.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[#6:8]-[#6:9]-[#16:10]-[#6:11]-[#8:12].[#6:13][C:14]([#6:15])([#6:20])[Si:16]([#6:17])([#6:19])[Cl:18]>>[#6:8]-[#6:9]-[#16:10]-[#6:11]-[#8:12][Si:16]([#6:19])([#6:17])[C:14]([#6:20])([#6:15])[#6:13].[#6:5]-[#6:4]-[#7+:3](-[#6:2]-[#6:1])-[#6:6]-[#6:7].[Cl-:18]
CCOC(=O)C1CCC2=C(C=CC=C2)C1=O.C#C>>CCOC(=O)C1(CCC2=CC=CC=C2C1=O)C=C,[#6:1]-[#6:2]-[#8:3]-[#6:4](=[O:5])-[#6:6]-1-[#6:7]-[#6:8]-[#6:9]-2=[#6:10](-[#6:11]=[#6:12]-[#6:13]=[#6:14]-2)-[#6:15]-1=[O:16].[C:17]#[C:18]>>[#6:1]-[#6:2]-[#8:3]-[#6:4](=[O:5])[C:6]1([#6:7]-[#6:8]-[#6:9]-2=[#6:14]-[#6:13]=[#6:12]-[#6:11]=[#6:10]-2-[#6:15]1=[O:16])[#6:17]=[#6:18]
NC(N)=O.CCOC(CC(OCC)=O)=O>>O=C1CC(NC(N1)=O)=O.CCO.CCO,[#7:1]-[#6:2](-[#7:3])=[O:4].[#6:5]-[#6:6]-[#8:7]-[#6:8](=[O:15])-[#6:9]-[#6:10](=[O:14])-[#8:11]-[#6:12]-[#6:13]>>[O:15]=[#6:8]-1-[#6:9]-[#6:10](=[O:14])-[#7:1]-[#6:2](=[O:4])-[#7:3]-1.[#6:13]-[#6:12]-[#8:11].[#6:5]-[#6:6]-[#8:7]
[O-]C([O-])=O.CCCC#CCCC.CNC1=CC=CC=C1I>>CCCC2=C(C3=C(N2C)C=CC=C3)CCC.OC([O-])=O.[I-],[#8-:1]-[#6:2](-[#8-:3])=[O:4].[#6:5]-[#6:6]-[#6:7][C:8]#[C:9][#6:10]-[#6:11]-[#6:12].[#6:13]-[#7:14]-[#6:15]-1=[#6:16]-[#6:17]=[#6:18]-[#6:19]=[#6:20]-1[I:21]>>[#6:12]-[#6:11]-[#6:10]-[#6:9]-1=[#6:8](-[#6:7]-[#6:6]-[#6:5])-[#6:20]-2=[#6:15](-[#6:16]=[#6:17]-[#6:18]=[#6:19]-2)-[#7:14]-1-[#6:13].[#8:3]-[#6:2](-[#8-:1])=[O:4].[I-:21]
[O-]C([O-])=O.CC(C#CC(C)(O)C)=C.NC1=C(C=CC=C1)I>>CC(C2=C(C(C)(O)C)NC3=C2C=CC=C3)=C.OC([O-])=O.[I-],[#8-:1]-[#6:2](-[#8-:3])=[O:4].[#6:5]-[#6:6](=[#6:13])[C:7]#[C:8][C:9]([#6:10])([#6:12])[#8:11].[#7:14]-[#6:15]-1=[#6:16]([I:21])-[#6:17]=[#6:18]-[#6:19]=[#6:20]-1>>[#6:5]-[#6:6](=[#6:13])-[#6:7]-1=[#6:8](-[#7:14]-[#6:15]-2=[#6:16]-1-[#6:17]=[#6:18]-[#6:19]=[#6:20]-2)[C:9]([#6:12])([#6:10])[#8:11].[#8:3]-[#6:2](-[#8-:1])=[O:4].[I-:21]
CC([O-])=O.OC[C@@H](C1=C(C=C(C=C1Br)OCC2=CC=CC=C2)Br)CNCC3=CC=CC=C3>>OC[C@@H]4CN(C5=C4C(Br)=CC(OCC6=CC=CC=C6)=C5)CC7=CC=CC=C7.CC(O)=O.[Br-],[CH3:1][C:2]([O-:3])=[O:4].[OH:5][CH2:6][C@H:7]([CH2:24][NH:25][CH2:26][C:27]1=[CH:28][CH:29]=[CH:30][CH:31]=[CH:32]1)[C:8]1=[C:9]([Br:23])[CH:10]=[C:11]([O:15][CH2:16][C:17]2=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]2)[CH:12]=[C:13]1[Br:14]>>[OH:5][CH2:6][C@@H:7]1[CH2:24][N:25]([CH2:26][C:27]2=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]2)[C:13]2=[C:8]1[C:9]([Br:23])=[CH:10][C:11]([O:15][CH2:16][C:17]1=[CH:22][CH:21]=[CH:20][CH:19]=[CH:18]1)=[CH:12]2.[CH3:1][C:2]([OH:3])=[O:4].[Br-:14]
O=CC1=CC=CC=C1N.C2CCCN2>>C34=CC=CC=C3CN5C(CCC5)N4.O,[#7:9]-[#6:8]-1=[#6:7]-[#6:6]=[#6:5]-[#6:4]=[#6:3]-1-[#6:2]=[O:1].[#6:11]-1-[#6:12]-[#6:13]-[#7:14]-[#6:10]-1>>[#6:11]-1-[#6:12]-[#6:13]-2-[#7:9]-[#6:8]-3=[#6:7]-[#6:6]=[#6:5]-[#6:4]=[#6:3]-3-[#6:2]-[#7:14]-2-[#6:10]-1.[#8:1]
[O-]C([O-])=O.CCCC(C=O)(C1=C(C=CC(OCC2=CC=C(C#N)C=C2)=C1)Br)CCC>>CCCC3(C(C4=CC=C(C=C34)OCC5=CC=C(C#N)C=C5)=O)CCC.OC([O-])=O.[Br-],[#8-:1]-[#6:2](-[#8-:3])=[O:4].[#6:5]-[#6:6]-[#6:7][C:8]([#6:28]-[#6:29]-[#6:30])([#6:9]=[O:10])[#6:11]-1=[#6:12]([Br:27])-[#6:13]=[#6:14]-[#6:15](-[#8:16]-[#6:17]-[#6:18]-2=[#6:19]-[#6:20]=[#6:21](-[#6:24]=[#6:25]-2)[C:22]#[N:23])=[#6:26]-1>>[#6:30]-[#6:29]-[#6:28][C:8]1([#6:7]-[#6:6]-[#6:5])[#6:9](=[O:10])-[#6:12]-2=[#6:13]-[#6:14]=[#6:15](-[#8:16]-[#6:17]-[#6:18]-3=[#6:19]-[#6:20]=[#6:21](-[#6:24]=[#6:25]-3)[C:22]#[N:23])-[#6:26]=[#6:11]1-2.[#8:3]-[#6:2](-[#8-:1])=[O:4].[Br-:27]
CC1=CC=C(C=C1)C1=NC=CC=C1.CC1=CC=C(C=C1)S(=O)(=O)N=[N]#N>>CC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC(C)=C1)C1=NC=CC=C1.N#N,[#6:1]-[#6:2]-1=[#6:3]-[#6:4]=[#6:5](-[#6:6]=[#6:7]-1)-[#6:8]-1=[#7:9]-[#6:10]=[#6:11]-[#6:12]=[#6:13]-1.[#6:14]-[#6:15]-1=[#6:16]-[#6:17]=[#6:18](-[#6:19]=[#6:20]-1)[S:21](=[O:22])(=[O:23])[#7:24]=[N:25]#[N:26]>>[#6:14]-[#6:15]-1=[#6:20]-[#6:19]=[#6:18](-[#6:17]=[#6:16]-1)[S:21](=[O:22])(=[O:23])[#7:24]-[#6:4]-1=[#6:5](-[#6:6]=[#6:7]-[#6:2](-[#6:1])=[#6:3]-1)-[#6:8]-1=[#7:9]-[#6:10]=[#6:11]-[#6:12]=[#6:13]-1.[N:26]#[N:25]
NO.CCOC(C1=CC=CC=C1)=O>>ONC(C2=CC=CC=C2)=O.CCO,[#7:1]-[#8:2].[#6:3]-[#6:4]-[#8:5]-[#6:6](=[O:13])-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11]=[#6:12]-1>>[#8:2]-[#7:1]-[#6:6](=[O:13])-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11]=[#6:12]-1.[#6:3]-[#6:4]-[#8:5]
